草船借箭,诸葛亮利用大雾天气，以草船为诱饵从曹操处智取十万余箭‌。,assets/story/audio/草船借箭.wav
单刀赴会,关羽关云长去东吴和周瑜谈判，只带了随从周仓，单刀赴会。,assets/story/audio/单刀赴会.wav
火烧赤壁,孙刘联军在赤壁利用火攻大败曹操，奠定三国鼎立的经典战役。,assets/story/audio/火烧赤壁.wav
借东风,诸葛亮与周瑜共同制定火攻曹营的计划。,assets/story/audio/借东风.wav
空城计,"诸葛亮在无兵无将的情况下,大开城门，依靠智慧迷惑并吓退司马懿的大军。",assets/story/audio/空城计.wav
三顾茅庐,刘备三次拜访诸葛亮，最终成功请他出山辅佐。,assets/story/audio/三顾茅庐.wav
三气周瑜,诸葛亮三次识破周瑜计策，致其气绝身亡，叹“既生瑜何生亮”。,assets/story/audio/三气周瑜.wav
三英战吕布,虎牢关前刘备、关羽、张飞联手对抗著名猛将吕布。,assets/story/audio/三英战吕布.wav
舌战群儒,诸葛亮同时与江东很多谋士进行辩论，并驳倒对方。,assets/story/audio/舌战群儒.wav
桃园三结义,"刘备、关羽、张飞三人,在桃园中结下深厚的友谊,结为兄弟。",assets/story/audio/桃园三结义.wav
